2020-03-05,21:31,Thu,282,True,P30 - P+R_Slinge benedendek
2020-03-05,21:32,Thu,282,True,P30 - P+R_Slinge benedendek
2020-03-05,21:33,Thu,282,True,P30 - P+R_Slinge benedendek
2020-03-05,21:34,Thu,282,True,P30 - P+R_Slinge benedendek
2020-03-05,21:35,Thu,283,True,P30 - P+R_Slinge benedendek
2020-03-05,21:36,Thu,283,True,P30 - P+R_Slinge benedendek
2020-03-05,21:37,Thu,283,True,P30 - P+R_Slinge benedendek
2020-03-05,21:39,Thu,283,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:39,Thu,283,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:40,Thu,284,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:41,Thu,285,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:42,Thu,285,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:43,Thu,284,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:44,Thu,284,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:45,Thu,284,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:46,Thu,284,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:47,Thu,284,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:48,Thu,286,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:49,Thu,286,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:50,Thu,286,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:51,Thu,286,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:52,Thu,286,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:53,Thu,286,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:54,Thu,286,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:55,Thu,286,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:56,Thu,289,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:57,Thu,289,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:58,Thu,289,True,P30 - P+R_Slinge benedendek,390
2020-03-05,21:59,Thu,289,True,P30 - P+R_Slinge benedendek,390
2020-03-05,22:00,Thu,289,True,P30 - P+R_Slinge benedendek,390
2020-03-05,22:01,Thu,289,True,P30 - P+R_Slinge benedendek,390
2020-03-05,22:02,Thu,289,True,P30 - P+R_Slinge benedendek,390
2020-03-05,22:03,Thu,289,True,P30 - P+R_Slinge benedendek,390
2020-03-05,22:04,Thu,289,True,P30 - P+R_Slinge benedendek,390
2020-03-05,22:05,Thu,291,True,P30 - P+R_Slinge benedendek,390
2020-03-05,22:06,Thu,292,True,P30 - P+R_Slinge benedendek,390
